Species,Female,Male,Dimor,SizeChange,ParentalCare,Plumage_dim_sum,MatingSystem,BSD,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1,NDVI,Solar,Temp,Altitude,group,erect,outlier
Ortalis_guttata,1,1,0,1,2,0,M,0.2,-907.8418304,0.091853735,-1194.796528,-114.0558894,0.091853735,-1194.796528,114.0558894,-907.8418304,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_motmot,1,1,0,1,2,0,M,0.0697,-1496.050264,0.182098327,2236.115049,-150.0903286,0.182098327,2236.115049,150.0903286,-1496.050264,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_argyrotis,2,2,0,1,2,0,M,0.092,749.0294635,0.015475122,3150.429296,-42.84168005,0.015475122,3150.429296,42.84168005,749.0294635,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_barbata,1,1,0,1,2,0,M,0.10684035,2659.367292,-0.133473698,-1767.883847,58.36531189,-0.133473698,-1767.883847,-58.36531189,2659.367292,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_montagnii,1,1,0,1,2,0,M,0.1931,2912.72586,-0.085585669,1014.937436,62.48697662,-0.085585669,1014.937436,-62.48697662,2912.72586,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_marail,2,2,0,1,2,0,M,0.0561,-1479.581928,0.184805005,2618.463048,-147.6725772,0.184805005,2618.463048,147.6725772,-1479.581928,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_superciliaris,2,2,0,1,2,0,nonM,0.14078088,-1037.059382,0.13625172,-1117.659303,-74.04253404,0.13625172,-1117.659303,74.04253404,-1037.059382,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_dabbenei,2,2,0,1,2,0,M,0.09370596,1558.557181,-0.361881096,-586.7007534,88.74055579,-0.361881096,-586.7007534,-88.74055579,1558.557181,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_purpurascens,3,3,0,1,2,0,M,-0.0085,-855.3521396,0.043028292,4332.372588,-112.83048,0.043028292,4332.372588,112.83048,-855.3521396,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_albipennis,3,3,0,1,1,0,M,0.16141179,-771.5644189,-0.302773588,-405.5890307,-98.65079619,-0.302773588,-405.5890307,98.65079619,-771.5644189,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_jacquacu,2,2,0,1,2,0,M,0.112,-1251.186105,0.155630866,-1054.476447,-123.5683786,0.155630866,-1054.476447,123.5683786,-1251.186105,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_obscura,2,2,0,1,2,0,nonM,0.091,-281.6992725,0.050767801,-2669.832421,-3.766273708,0.050767801,-2669.832421,3.766273708,-281.6992725,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_pileata,2,2,0,1,2,0,M,-0.2254,-1363.294966,0.214897321,-1207.106561,-147.0485009,0.214897321,-1207.106561,147.0485009,-1363.294966,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_ochrogaster,2,2,0,1,2,0,M,-0.06148795,-1465.992538,0.213557919,-151.3017606,-124.9652403,0.213557919,-151.3017606,124.9652403,-1465.992538,non-Phasianidae,non-erectile,non-Phasianidae
Penelope_jacucaca,2,2,0,1,2,0,M,-0.06148795,-540.5854318,0.19120362,2944.435378,-112.2973692,0.19120362,2944.435378,112.2973692,-540.5854318,non-Phasianidae,non-erectile,non-Phasianidae
Pipile_pipile,2,2,0,1,2,1,M,-0.1614,-1440.413301,0.168544896,3478.72877,-162.9471617,0.168544896,3478.72877,162.9471617,-1440.413301,non-Phasianidae,non-erectile,non-Phasianidae
Pipile_cumanensis,2,2,0,1,2,0,M,0.1432,-1254.468389,0.216591156,-1019.17083,-119.6279657,0.216591156,-1019.17083,119.6279657,-1254.468389,non-Phasianidae,non-erectile,non-Phasianidae
Pipile_cujubi,2,2,0,1,2,0,M,-0.01732433,-1338.841097,0.173301412,-1500.339238,-134.4749286,0.173301412,-1500.339238,134.4749286,-1338.841097,non-Phasianidae,non-erectile,non-Phasianidae
Pipile_jacutinga,3,3,0,1,2,0,M,-0.0438,-1110.630955,0.219202401,-2214.679074,-43.67919224,0.219202401,-2214.679074,43.67919224,-1110.630955,non-Phasianidae,non-erectile,non-Phasianidae
Aburria_aburri,2,1,-1,1,2,0,M,0.1245,1052.150637,-0.017185436,-844.3280815,-27.01651325,-0.017185436,-844.3280815,27.01651325,1052.150637,non-Phasianidae,non-erectile,non-Phasianidae
Chamaepetes_unicolor,1,1,0,1,2,0,M,0.1546,1014.213341,-0.127474147,5008.267928,-27.83742021,-0.127474147,5008.267928,27.83742021,1014.213341,non-Phasianidae,non-erectile,non-Phasianidae
Chamaepetes_goudotii,1,1,0,1,2,0,M,-0.1138,1858.674091,-0.041369337,1875.250318,1.920560752,-0.041369337,1875.250318,-1.920560752,1858.674091,non-Phasianidae,non-erectile,non-Phasianidae
Penelopina_nigra,0,1,1,1,1,8,nonM,0.18370798,870.6524778,0.037291062,3959.758734,-17.75822998,0.037291062,3959.758734,17.75822998,870.6524778,non-Phasianidae,non-erectile,non-Phasianidae
Oreophasis_derbianus,2,2,0,1,1,0,nonM,0.1402,1764.355231,0.042294329,3843.303576,16.00629877,0.042294329,3843.303576,-16.00629877,1764.355231,non-Phasianidae,non-erectile,non-Phasianidae
Nothocrax_urumutum,2,2,0,1,2,1,M,0.22448288,-1308.698071,0.233228161,-2530.721284,-123.4907003,0.233228161,-2530.721284,123.4907003,-1308.698071,non-Phasianidae,non-erectile,non-Phasianidae
Mitu_tomentosum,0,0,0,0,2,0,nonM,0.2369,-1473.851316,0.101099542,1741.879246,-150.1858542,0.101099542,1741.879246,150.1858542,-1473.851316,non-Phasianidae,No_FS,non-Phasianidae
Mitu_salvini,0,0,0,0,1,0,M,0.23190691,-1244.686427,0.257706301,-2628.546225,-120.6269801,0.257706301,-2628.546225,120.6269801,-1244.686427,non-Phasianidae,No_FS,non-Phasianidae
Mitu_tuberosum,2,2,0,1,2,0,nonM,0.425,-1237.571727,0.139591312,-1037.208551,-119.6781765,0.139591312,-1037.208551,119.6781765,-1237.571727,non-Phasianidae,non-erectile,non-Phasianidae
Mitu_mitu,1,1,0,1,2,0,nonM,0.0783,-1643.974774,-0.061248546,2832.052218,-150.1403676,-0.061248546,2832.052218,150.1403676,-1643.974774,non-Phasianidae,non-erectile,non-Phasianidae
Pauxi_pauxi,2,2,0,1,1,0,M,0.3333,324.901434,0.074256109,2975.558638,-63.52981701,0.074256109,2975.558638,63.52981701,324.901434,non-Phasianidae,non-erectile,non-Phasianidae
Pauxi_unicornis,2,2,0,1,1,0,nonM,0.0634,-896.6671426,0.054818093,-880.327304,-90.49248123,0.054818093,-880.327304,90.49248123,-896.6671426,non-Phasianidae,non-erectile,non-Phasianidae
Crax_rubra,0,2,2,1,2,9,M,0.1398,-1338.864617,0.095969065,3922.608964,-130.5278759,0.095969065,3922.608964,130.5278759,-1338.864617,non-Phasianidae,non-erectile,non-Phasianidae
Crax_alberti,0,2,2,1,2,7,M,1.1875,-1230.921623,0.069475016,3915.397752,-150.0787852,0.069475016,3915.397752,150.0787852,-1230.921623,non-Phasianidae,non-erectile,non-Phasianidae
Crax_daubentoni,1,2,1,1,1,1,M,0.1561,-1519.181469,0.192635023,3795.044466,-166.6448892,0.192635023,3795.044466,166.6448892,-1519.181469,non-Phasianidae,non-erectile,non-Phasianidae
Crax_alector,1,1,0,1,1,1,M,0.149,-1454.675625,0.193696051,2321.759271,-144.4696137,0.193696051,2321.759271,144.4696137,-1454.675625,non-Phasianidae,non-erectile,non-Phasianidae
Crax_globulosa,1,2,1,1,2,2,M,0.21716148,-1525.658101,0.107656283,-2527.61154,-137.3530084,0.107656283,-2527.61154,137.3530084,-1525.658101,non-Phasianidae,non-erectile,non-Phasianidae
Crax_fasciolata,0,1,1,1,1,11,M,0.1224,-1271.617618,0.154370067,-115.5637159,-110.7194216,0.154370067,-115.5637159,110.7194216,-1271.617618,non-Phasianidae,non-erectile,non-Phasianidae
Crax_blumenbachii,0,2,2,1,2,3,M,0.1129,-1600.32575,0.200833694,-1403.058195,-125.8396894,0.200833694,-1403.058195,125.8396894,-1600.32575,non-Phasianidae,non-erectile,non-Phasianidae
Agelastes_meleagrides,3,3,0,1,2,0,M,0.16047442,-1396.664821,0.068278343,293.5759296,-134.8276557,0.068278343,293.5759296,134.8276557,-1396.664821,non-Phasianidae,non-erectile,non-Phasianidae
Agelastes_niger,3,3,0,1,2,0,M,0.19442623,-527.0406786,0.053874177,481.9872195,-100.297506,0.053874177,481.9872195,100.297506,-527.0406786,non-Phasianidae,non-erectile,non-Phasianidae
Numida_meleagris,4,4,0,1,2,0,M,0.001,34.80237658,-0.063899693,2716.571894,17.60106157,-0.063899693,2716.571894,-17.60106157,34.80237658,non-Phasianidae,non-erectile,non-Phasianidae
Guttera_plumifera,3,3,0,1,2,0,M,0.13997562,-478.872585,0.203428857,335.0022464,-96.5749155,0.203428857,335.0022464,96.5749155,-478.872585,non-Phasianidae,non-erectile,non-Phasianidae
Guttera_pucherani,2,2,0,1,2,0,M,0.0794,-322.3669658,0.046331445,2028.291303,-81.56049745,0.046331445,2028.291303,81.56049745,-322.3669658,non-Phasianidae,non-erectile,non-Phasianidae
Acryllium_vulturinum,2,2,0,1,2,0,M,0.0049,-123.0821204,-0.150566975,4973.377212,-96.82492189,-0.150566975,4973.377212,96.82492189,-123.0821204,non-Phasianidae,non-erectile,non-Phasianidae
Ptilopachus_petrosus,1,1,0,1,2,1,M,-0.0176,-1321.451003,-0.041252423,5048.22525,-142.0786105,-0.041252423,5048.22525,142.0786105,-1321.451003,non-Phasianidae,non-erectile,non-Phasianidae
Ptilopachus_nahani,1,1,0,1,2,0,M,0.2551,101.9349416,0.192285802,3530.35431,-89.88991945,0.192285802,3530.35431,89.88991945,101.9349416,non-Phasianidae,non-erectile,non-Phasianidae
Dendrortyx_barbatus,1,1,0,1,2,0,M,0.1333,1012.460868,-0.026048846,309.1963514,14.9897957,-0.026048846,309.1963514,-14.9897957,1012.460868,non-Phasianidae,non-erectile,non-Phasianidae
Dendrortyx_macroura,1,1,0,1,2,0,M,0.0768,2339.351313,0.09147794,2342.378151,61.48168111,0.09147794,2342.378151,-61.48168111,2339.351313,non-Phasianidae,non-erectile,non-Phasianidae
Dendrortyx_leucophrys,1,1,0,1,2,0,M,0.1676,1183.018211,0.024231004,5535.465773,-6.233547058,0.024231004,5535.465773,6.233547058,1183.018211,non-Phasianidae,non-erectile,non-Phasianidae
