species,Family,Altitude median,Altitude_quart25,Altitude_quart75,ndvi_min,ndvi_mean,ndvi_max,solr_min,solr_mean,solr_max,temp_mean,temp_max,temp_min,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1
Penelope_montagnii,Cracidae,2687.8125,2115.84375,3086.734375,-0.02025,0.08623334,0.367599994,14206,15709.125,17202,131,175,84,2912.72586,-0.085585669,1014.937436,62.48697662
Penelope_marail,Cracidae,105.53125,72.046875,170.90625,0,0.211049989,0.615150005,14582,17649.45801,21553,256.5,303,223,-1479.581928,0.184805005,2618.463048,-147.6725772
Penelope_superciliaris,Cracidae,276.6875,145.765625,653.671875,-0.0115,0.110616665,0.590200007,11713,15512.875,18913,230,296,152,-1037.059382,0.13625172,-1117.659303,-74.04253404
Penelope_dabbenei,Cracidae,1851.25,1566.6875,2160.25,-0.0222,0.015416667,0.100500003,11788,16294.91699,20011,150,232,23,1558.557181,-0.361881096,-586.7007534,88.74055579
Penelope_purpurascens,Cracidae,357.8125,112.390625,893,-0.0108,0.113829166,0.493299991,15934,18744.58301,21589.5,242,285,195,-855.3521396,0.043028292,4332.372588,-112.83048
Penelope_albipennis,Cracidae,493.9375,290.4375,756.09375,-0.0156,0.024400001,0.159199998,12962,15107.41699,16594,239,287,179,-771.5644189,-0.302773588,-405.5890307,-98.65079619
Penelope_jacquacu,Cracidae,233.4375,160.6875,342.625,0,0.153008327,0.599600017,12570,14485.33301,16551,249,294,201,-1251.186105,0.155630866,-1054.476447,-123.5683786
Penelope_obscura,Cracidae,809.75,457.09375,1104.71875,-0.00375,0.078649998,0.510100007,10448.5,14690.75,18229.5,189,263,102,-281.6992725,0.050767801,-2669.832421,-3.766273708
Penelope_pileata,Cracidae,161.40625,86.40625,291.671875,-0.021,0.148362495,0.661799997,11940,14965.33301,18676.5,256,301.5,223,-1363.294966,0.214897321,-1207.106561,-147.0485009
Penelope_ochrogaster,Cracidae,118.6875,114.75,145.875,-0.046399999,0.12059167,0.667300016,13097.5,15267.5415,17372.5,264,325,184,-1465.992538,0.213557919,-151.3017606,-124.9652403
Penelope_jacucaca,Cracidae,667.78125,443.828125,837.15625,-0.0207,0.159458324,0.634599984,14979,17749.16699,20647,240.5,313,187,-540.5854318,0.19120362,2944.435378,-112.2973692
Pipile_pipile,Cracidae,136.6875,57.40625,215.78125,0.0236,0.251620837,0.58829999,15132,18512.20898,21007,261,277,246.5,-1440.413301,0.168544896,3478.72877,-162.9471617
Pipile_cumanensis,Cracidae,238.96875,187.859375,310.4375,0,0.173150003,0.657400012,12630,14485.5,16325,250,292.5,196,-1254.468389,0.216591156,-1019.17083,-119.6279657
Pipile_cujubi,Cracidae,206.375,121,260.8125,-0.022650001,0.136241667,0.621950001,11848.5,14634.20801,17989.5,252,319,205,-1338.841097,0.173301412,-1500.339238,-134.4749286
Pipile_jacutinga,Cracidae,247,195.0625,525.0625,0,0.119166665,0.673600018,10049,15883.58301,21129,216,292,125,-1110.630955,0.219202401,-2214.679074,-43.67919224
Aburria_aburri,Cracidae,1575.125,1096.96875,1992.21875,0,0.110466667,0.432099998,12822,14493.83301,16380,185,229,143,1052.150637,-0.017185436,-844.3280815,-27.01651325
Chamaepetes_unicolor,Cracidae,1496.59375,1137.265625,1972.6875,-0.02745,0.070249997,0.328399986,16559,18994.66699,21732,178,217,152,1014.213341,-0.127474147,5008.267928,-27.83742021
Chamaepetes_goudotii,Cracidae,2007.59375,1634.203125,2436.15625,-0.007,0.108075,0.407749996,14910.5,16152.9585,17616.5,164,202,129,1858.674091,-0.041369337,1875.250318,1.920560752
Penelopina_nigra,Cracidae,1457.65625,1059.328125,1844.09375,-0.02715,0.128183335,0.483750001,15665,18555.08398,20971.5,187,249,124.5,870.6524778,0.037291062,3959.758734,-17.75822998
Oreophasis_derbianus,Cracidae,1915.625,1451.59375,2519.015625,-0.01865,0.106525004,0.494349986,15649.5,18350.54102,20937,165,224.5,104.5,1764.355231,0.042294329,3843.303576,16.00629877
Nothocrax_urumutum,Cracidae,229.25,119.25,288.71875,0,0.191333339,0.670000017,11636,13334.83301,15201,245,282,207,-1308.698071,0.233228161,-2530.721284,-123.4907003
Mitu_tomentosum,Cracidae,113.96875,73.859375,170.6875,-0.0084,0.166454174,0.540000021,14455,16493.875,18885,259,308,223,-1473.851316,0.101099542,1741.879246,-150.1858542
Mitu_salvini,Cracidae,241.1875,209,306.875,0,0.198658332,0.693400025,11570,13288.41699,14963,242,280,206,-1244.686427,0.257706301,-2628.546225,-120.6269801
Mitu_tuberosum,Cracidae,247.8125,177.390625,337.40625,0,0.140483335,0.586199999,12531.5,14552.79199,16786.5,251,299,193.5,-1237.571727,0.139591312,-1037.208551,-119.6781765
Mitu_mitu,Cracidae,24.3125,24.3125,24.3125,-0.0766,0.088375002,0.39199999,13978,18942,22937,263,306,221,-1643.974774,-0.061248546,2832.052218,-150.1403676
Pauxi_pauxi,Cracidae,1118.625,890.8125,1430,0,0.14108333,0.518700004,15307,17406.33301,19504,208,247.5,167.5,324.901434,0.074256109,2975.558638,-63.52981701
Pauxi_unicornis,Cracidae,466.4375,377.296875,513.609375,0,0.127945837,0.501949996,12175.5,15365.625,17682,239.5,294.5,166.5,-896.6671426,0.054818093,-880.327304,-90.49248123
Crax_rubra,Cracidae,155.40625,44.46875,369.671875,0,0.146608338,0.539699972,15464,18730.625,21657,252,296,207,-1338.864617,0.095969065,3922.608964,-130.5278759
Crax_alberti,Cracidae,202.28125,108.171875,445.90625,-0.0495,0.144433334,0.512799978,16277.5,17600.91602,19530,263,299,223,-1230.921623,0.069475016,3915.397752,-150.0787852
Crax_daubentoni,Cracidae,84.65625,70.03125,129.1875,0,0.17756667,0.631599993,16078,17693.125,19631,270,332,229,-1519.181469,0.192635023,3795.044466,-166.6448892
Crax_alector,Cracidae,112.1875,85.5625,193.3125,0,0.213708341,0.623650014,14597,17162.33398,20607,256,301,220,-1454.675625,0.193696051,2321.759271,-144.4696137
Crax_globulosa,Cracidae,95.46875,80.375,100.5625,-0.0155,0.117658339,0.558950007,11580.5,13384.75,15560,252,287,218,-1525.658101,0.107656283,-2527.61154,-137.3530084
